"","date","country","Sales"
"1524",2017-09-11,"Spain",128
"1525",2017-09-12,"Belgium",207
"1526",2017-09-12,"France",179
"1527",2017-09-12,"Germany",218
"1528",2017-09-12,"Italy",151
"1529",2017-09-12,"Poland",67
"1530",2017-09-12,"Spain",134
"1531",2017-09-13,"Belgium",205
"1532",2017-09-13,"France",187
"1533",2017-09-13,"Germany",206
"1534",2017-09-13,"Italy",155
"1535",2017-09-13,"Poland",63
"1536",2017-09-13,"Spain",131
"1537",2017-09-14,"Belgium",209
"1538",2017-09-14,"France",173
"1539",2017-09-14,"Germany",207
"1540",2017-09-14,"Italy",150
"1541",2017-09-14,"Poland",64
"1542",2017-09-14,"Spain",130
"1543",2017-09-15,"Belgium",212
"1544",2017-09-15,"France",185
"1545",2017-09-15,"Germany",218
"1546",2017-09-15,"Italy",148
"1547",2017-09-15,"Poland",67
"1548",2017-09-15,"Spain",140
"1549",2017-09-16,"Belgium",242
"1550",2017-09-16,"France",205
"1551",2017-09-16,"Germany",233
"1552",2017-09-16,"Italy",166
"1553",2017-09-16,"Poland",74
"1554",2017-09-16,"Spain",151
"1555",2017-09-17,"Belgium",245
"1556",2017-09-17,"France",210
"1557",2017-09-17,"Germany",253
"1558",2017-09-17,"Italy",182
"1559",2017-09-17,"Poland",76
"1560",2017-09-17,"Spain",158
"1561",2017-09-18,"Belgium",210
"1562",2017-09-18,"France",184
"1563",2017-09-18,"Germany",215
"1564",2017-09-18,"Italy",153
"1565",2017-09-18,"Poland",66
"1566",2017-09-18,"Spain",133
"1567",2017-09-19,"Belgium",216
"1568",2017-09-19,"France",188
"1569",2017-09-19,"Germany",216
"1570",2017-09-19,"Italy",152
"1571",2017-09-19,"Poland",66
"1572",2017-09-19,"Spain",132
"1573",2017-09-20,"Belgium",208
"1574",2017-09-20,"France",184
"1575",2017-09-20,"Germany",202
"1576",2017-09-20,"Italy",153
"1577",2017-09-20,"Poland",65
"1578",2017-09-20,"Spain",134
"1579",2017-09-21,"Belgium",215
"1580",2017-09-21,"France",180
"1581",2017-09-21,"Germany",210
"1582",2017-09-21,"Italy",150
"1583",2017-09-21,"Poland",65
"1584",2017-09-21,"Spain",131
"1585",2017-09-22,"Belgium",224
"1586",2017-09-22,"France",189
"1587",2017-09-22,"Germany",222
"1588",2017-09-22,"Italy",161
"1589",2017-09-22,"Poland",66
"1590",2017-09-22,"Spain",141
"1591",2017-09-23,"Belgium",237
"1592",2017-09-23,"France",210
"1593",2017-09-23,"Germany",243
"1594",2017-09-23,"Italy",177
"1595",2017-09-23,"Poland",75
"1596",2017-09-23,"Spain",151
"1597",2017-09-24,"Belgium",244
"1598",2017-09-24,"France",214
"1599",2017-09-24,"Germany",245
"1600",2017-09-24,"Italy",187
"1601",2017-09-24,"Poland",80
"1602",2017-09-24,"Spain",162
"1603",2017-09-25,"Belgium",212
"1604",2017-09-25,"France",181
"1605",2017-09-25,"Germany",205
"1606",2017-09-25,"Italy",152
"1607",2017-09-25,"Poland",62
"1608",2017-09-25,"Spain",132
"1609",2017-09-26,"Belgium",215
"1610",2017-09-26,"France",188
"1611",2017-09-26,"Germany",216
"1612",2017-09-26,"Italy",154
"1613",2017-09-26,"Poland",66
"1614",2017-09-26,"Spain",134
"1615",2017-09-27,"Belgium",208
"1616",2017-09-27,"France",181
"1617",2017-09-27,"Germany",199
"1618",2017-09-27,"Italy",152
"1619",2017-09-27,"Poland",66
"1620",2017-09-27,"Spain",135
"1621",2017-09-28,"Belgium",208
"1622",2017-09-28,"France",177
"1623",2017-09-28,"Germany",214
"1624",2017-09-28,"Italy",152
"1625",2017-09-28,"Poland",64
"1626",2017-09-28,"Spain",134
"1627",2017-09-29,"Belgium",224
"1628",2017-09-29,"France",194
"1629",2017-09-29,"Germany",227
"1630",2017-09-29,"Italy",161
"1631",2017-09-29,"Poland",68
"1632",2017-09-29,"Spain",136
"1633",2017-09-30,"Belgium",234
"1634",2017-09-30,"France",211
"1635",2017-09-30,"Germany",246
"1636",2017-09-30,"Italy",176
"1637",2017-09-30,"Poland",73
"1638",2017-09-30,"Spain",152
"1639",2017-10-01,"Belgium",248
"1640",2017-10-01,"France",213
"1641",2017-10-01,"Germany",259
"1642",2017-10-01,"Italy",177
"1643",2017-10-01,"Poland",83
"1644",2017-10-01,"Spain",156
"1645",2017-10-02,"Belgium",205
"1646",2017-10-02,"France",178
"1647",2017-10-02,"Germany",212
"1648",2017-10-02,"Italy",151
"1649",2017-10-02,"Poland",63
"1650",2017-10-02,"Spain",126
"1651",2017-10-03,"Belgium",208
"1652",2017-10-03,"France",181
"1653",2017-10-03,"Germany",214
"1654",2017-10-03,"Italy",157
"1655",2017-10-03,"Poland",63
"1656",2017-10-03,"Spain",138
"1657",2017-10-04,"Belgium",210
"1658",2017-10-04,"France",180
"1659",2017-10-04,"Germany",216
"1660",2017-10-04,"Italy",150
"1661",2017-10-04,"Poland",65
"1662",2017-10-04,"Spain",131
"1663",2017-10-05,"Belgium",205
"1664",2017-10-05,"France",185
"1665",2017-10-05,"Germany",226
"1666",2017-10-05,"Italy",155
"1667",2017-10-05,"Poland",67
"1668",2017-10-05,"Spain",133
"1669",2017-10-06,"Belgium",220
"1670",2017-10-06,"France",190
"1671",2017-10-06,"Germany",243
"1672",2017-10-06,"Italy",158
"1673",2017-10-06,"Poland",68
"1674",2017-10-06,"Spain",140
"1675",2017-10-07,"Belgium",238
"1676",2017-10-07,"France",204
"1677",2017-10-07,"Germany",268
"1678",2017-10-07,"Italy",171
"1679",2017-10-07,"Poland",75
"1680",2017-10-07,"Spain",154
"1681",2017-10-08,"Belgium",247
"1682",2017-10-08,"France",224
"1683",2017-10-08,"Germany",276
"1684",2017-10-08,"Italy",187
"1685",2017-10-08,"Poland",79
"1686",2017-10-08,"Spain",158
"1687",2017-10-09,"Belgium",212
"1688",2017-10-09,"France",182
"1689",2017-10-09,"Germany",224
"1690",2017-10-09,"Italy",154
"1691",2017-10-09,"Poland",64
"1692",2017-10-09,"Spain",133
"1693",2017-10-10,"Belgium",212
"1694",2017-10-10,"France",180
"1695",2017-10-10,"Germany",214
"1696",2017-10-10,"Italy",148
"1697",2017-10-10,"Poland",64
"1698",2017-10-10,"Spain",128
"1699",2017-10-11,"Belgium",212
"1700",2017-10-11,"France",182
"1701",2017-10-11,"Germany",210
"1702",2017-10-11,"Italy",149
"1703",2017-10-11,"Poland",66
"1704",2017-10-11,"Spain",131
"1705",2017-10-12,"Belgium",211
"1706",2017-10-12,"France",187
"1707",2017-10-12,"Germany",218
"1708",2017-10-12,"Italy",148
"1709",2017-10-12,"Poland",67
"1710",2017-10-12,"Spain",137
"1711",2017-10-13,"Belgium",224
"1712",2017-10-13,"France",196
"1713",2017-10-13,"Germany",220
"1714",2017-10-13,"Italy",166
"1715",2017-10-13,"Poland",69
"1716",2017-10-13,"Spain",145
"1717",2017-10-14,"Belgium",242
"1718",2017-10-14,"France",213
"1719",2017-10-14,"Germany",248
"1720",2017-10-14,"Italy",177
"1721",2017-10-14,"Poland",73
"1722",2017-10-14,"Spain",155
"1723",2017-10-15,"Belgium",244
"1724",2017-10-15,"France",230
"1725",2017-10-15,"Germany",251
"1726",2017-10-15,"Italy",183
"1727",2017-10-15,"Poland",78
"1728",2017-10-15,"Spain",177
"1729",2017-10-16,"Belgium",211
"1730",2017-10-16,"France",183
"1731",2017-10-16,"Germany",213
"1732",2017-10-16,"Italy",159
"1733",2017-10-16,"Poland",69
"1734",2017-10-16,"Spain",153
"1735",2017-10-17,"Belgium",211
"1736",2017-10-17,"France",186
"1737",2017-10-17,"Germany",212
"1738",2017-10-17,"Italy",152
"1739",2017-10-17,"Poland",66
"1740",2017-10-17,"Spain",151
"1741",2017-10-18,"Belgium",211
"1742",2017-10-18,"France",183
"1743",2017-10-18,"Germany",218
"1744",2017-10-18,"Italy",154
"1745",2017-10-18,"Poland",66
"1746",2017-10-18,"Spain",148
"1747",2017-10-19,"Belgium",203
"1748",2017-10-19,"France",186
"1749",2017-10-19,"Germany",215
"1750",2017-10-19,"Italy",156
"1751",2017-10-19,"Poland",66
"1752",2017-10-19,"Spain",146
"1753",2017-10-20,"Belgium",217
"1754",2017-10-20,"France",187
"1755",2017-10-20,"Germany",223
"1756",2017-10-20,"Italy",165
"1757",2017-10-20,"Poland",68
"1758",2017-10-20,"Spain",146
"1759",2017-10-21,"Belgium",248
"1760",2017-10-21,"France",210
"1761",2017-10-21,"Germany",243
"1762",2017-10-21,"Italy",176
"1763",2017-10-21,"Poland",76
"1764",2017-10-21,"Spain",156
"1765",2017-10-22,"Belgium",251
"1766",2017-10-22,"France",229
"1767",2017-10-22,"Germany",246
"1768",2017-10-22,"Italy",178
"1769",2017-10-22,"Poland",80
"1770",2017-10-22,"Spain",156
"1771",2017-10-23,"Belgium",209
"1772",2017-10-23,"France",185
"1773",2017-10-23,"Germany",205
"1774",2017-10-23,"Italy",164
"1775",2017-10-23,"Poland",67
"1776",2017-10-23,"Spain",139
"1777",2017-10-24,"Belgium",209
"1778",2017-10-24,"France",184
"1779",2017-10-24,"Germany",224
"1780",2017-10-24,"Italy",153
"1781",2017-10-24,"Poland",66
"1782",2017-10-24,"Spain",131
"1783",2017-10-25,"Belgium",211
"1784",2017-10-25,"France",184
"1785",2017-10-25,"Germany",215
"1786",2017-10-25,"Italy",154
"1787",2017-10-25,"Poland",66
"1788",2017-10-25,"Spain",132
"1789",2017-10-26,"Belgium",213
"1790",2017-10-26,"France",180
"1791",2017-10-26,"Germany",214
"1792",2017-10-26,"Italy",153
"1793",2017-10-26,"Poland",67
"1794",2017-10-26,"Spain",132
"1795",2017-10-27,"Belgium",221
"1796",2017-10-27,"France",200
"1797",2017-10-27,"Germany",228
"1798",2017-10-27,"Italy",158
"1799",2017-10-27,"Poland",70
"1800",2017-10-27,"Spain",142
"1801",2017-10-28,"Belgium",244
"1802",2017-10-28,"France",207
"1803",2017-10-28,"Germany",240
"1804",2017-10-28,"Italy",172
"1805",2017-10-28,"Poland",76
"1806",2017-10-28,"Spain",156
"1807",2017-10-29,"Belgium",270
"1808",2017-10-29,"France",230
"1809",2017-10-29,"Germany",261
"1810",2017-10-29,"Italy",191
"1811",2017-10-29,"Poland",80
"1812",2017-10-29,"Spain",159
"1813",2017-10-30,"Belgium",215
"1814",2017-10-30,"France",187
"1815",2017-10-30,"Germany",224
"1816",2017-10-30,"Italy",155
"1817",2017-10-30,"Poland",65
"1818",2017-10-30,"Spain",134
"1819",2017-10-31,"Belgium",210
"1820",2017-10-31,"France",190
"1821",2017-10-31,"Germany",217
"1822",2017-10-31,"Italy",156
"1823",2017-10-31,"Poland",65
"1824",2017-10-31,"Spain",137
"1825",2017-11-01,"Belgium",220
"1826",2017-11-01,"France",191
"1827",2017-11-01,"Germany",226
"1828",2017-11-01,"Italy",159
"1829",2017-11-01,"Poland",68
"1830",2017-11-01,"Spain",141
"1831",2017-11-02,"Belgium",225
"1832",2017-11-02,"France",194
"1833",2017-11-02,"Germany",238
"1834",2017-11-02,"Italy",162
"1835",2017-11-02,"Poland",70
"1836",2017-11-02,"Spain",146
"1837",2017-11-03,"Belgium",246
"1838",2017-11-03,"France",214
"1839",2017-11-03,"Germany",252
"1840",2017-11-03,"Italy",175
"1841",2017-11-03,"Poland",76
"1842",2017-11-03,"Spain",147
"1843",2017-11-04,"Belgium",275
"1844",2017-11-04,"France",240
"1845",2017-11-04,"Germany",290
"1846",2017-11-04,"Italy",204
"1847",2017-11-04,"Poland",90
"1848",2017-11-04,"Spain",180
"1849",2017-11-05,"Belgium",286
"1850",2017-11-05,"France",260
"1851",2017-11-05,"Germany",304
"1852",2017-11-05,"Italy",222
"1853",2017-11-05,"Poland",94
"1854",2017-11-05,"Spain",188
"1855",2017-11-06,"Belgium",244
"1856",2017-11-06,"France",222
"1857",2017-11-06,"Germany",242
"1858",2017-11-06,"Italy",176
"1859",2017-11-06,"Poland",80
"1860",2017-11-06,"Spain",156
"1861",2017-11-07,"Belgium",241
"1862",2017-11-07,"France",206
"1863",2017-11-07,"Germany",231
"1864",2017-11-07,"Italy",178
"1865",2017-11-07,"Poland",76
"1866",2017-11-07,"Spain",154
"1867",2017-11-08,"Belgium",231
"1868",2017-11-08,"France",201
"1869",2017-11-08,"Germany",225
"1870",2017-11-08,"Italy",173
"1871",2017-11-08,"Poland",72
"1872",2017-11-08,"Spain",150
"1873",2017-11-09,"Belgium",225
"1874",2017-11-09,"France",195
"1875",2017-11-09,"Germany",227
"1876",2017-11-09,"Italy",162
"1877",2017-11-09,"Poland",69
"1878",2017-11-09,"Spain",144
"1879",2017-11-10,"Belgium",229
"1880",2017-11-10,"France",207
"1881",2017-11-10,"Germany",229
"1882",2017-11-10,"Italy",171
"1883",2017-11-10,"Poland",74
"1884",2017-11-10,"Spain",146
"1885",2017-11-11,"Belgium",257
"1886",2017-11-11,"France",225
"1887",2017-11-11,"Germany",256
"1888",2017-11-11,"Italy",183
"1889",2017-11-11,"Poland",81
"1890",2017-11-11,"Spain",159
"1891",2017-11-12,"Belgium",259
"1892",2017-11-12,"France",233
"1893",2017-11-12,"Germany",266
"1894",2017-11-12,"Italy",193
"1895",2017-11-12,"Poland",84
"1896",2017-11-12,"Spain",167
"1897",2017-11-13,"Belgium",237
"1898",2017-11-13,"France",204
"1899",2017-11-13,"Germany",226
"1900",2017-11-13,"Italy",161
"1901",2017-11-13,"Poland",74
"1902",2017-11-13,"Spain",145
"1903",2017-11-14,"Belgium",238
"1904",2017-11-14,"France",218
"1905",2017-11-14,"Germany",228
"1906",2017-11-14,"Italy",164
"1907",2017-11-14,"Poland",76
"1908",2017-11-14,"Spain",140
"1909",2017-11-15,"Belgium",239
"1910",2017-11-15,"France",218
"1911",2017-11-15,"Germany",218
"1912",2017-11-15,"Italy",161
"1913",2017-11-15,"Poland",76
"1914",2017-11-15,"Spain",140
"1915",2017-11-16,"Belgium",254
"1916",2017-11-16,"France",220
"1917",2017-11-16,"Germany",222
"1918",2017-11-16,"Italy",158
"1919",2017-11-16,"Poland",77
"1920",2017-11-16,"Spain",140
"1921",2017-11-17,"Belgium",261
"1922",2017-11-17,"France",214
"1923",2017-11-17,"Germany",225
"1924",2017-11-17,"Italy",167
"1925",2017-11-17,"Poland",78
"1926",2017-11-17,"Spain",151
"1927",2017-11-18,"Belgium",265
"1928",2017-11-18,"France",236
"1929",2017-11-18,"Germany",248
"1930",2017-11-18,"Italy",188
"1931",2017-11-18,"Poland",85
"1932",2017-11-18,"Spain",162
"1933",2017-11-19,"Belgium",272
"1934",2017-11-19,"France",244
"1935",2017-11-19,"Germany",264
"1936",2017-11-19,"Italy",201
"1937",2017-11-19,"Poland",85
"1938",2017-11-19,"Spain",164
"1939",2017-11-20,"Belgium",220
"1940",2017-11-20,"France",194
"1941",2017-11-20,"Germany",211
"1942",2017-11-20,"Italy",166
"1943",2017-11-20,"Poland",70
"1944",2017-11-20,"Spain",141
"1945",2017-11-21,"Belgium",222
"1946",2017-11-21,"France",200
"1947",2017-11-21,"Germany",225
"1948",2017-11-21,"Italy",160
"1949",2017-11-21,"Poland",69
"1950",2017-11-21,"Spain",141
"1951",2017-11-22,"Belgium",230
"1952",2017-11-22,"France",196
"1953",2017-11-22,"Germany",226
"1954",2017-11-22,"Italy",161
"1955",2017-11-22,"Poland",66
"1956",2017-11-22,"Spain",137
"1957",2017-11-23,"Belgium",221
"1958",2017-11-23,"France",193
"1959",2017-11-23,"Germany",218
"1960",2017-11-23,"Italy",159
"1961",2017-11-23,"Poland",68
"1962",2017-11-23,"Spain",138
"1963",2017-11-24,"Belgium",227
"1964",2017-11-24,"France",205
"1965",2017-11-24,"Germany",237
"1966",2017-11-24,"Italy",166
"1967",2017-11-24,"Poland",72
"1968",2017-11-24,"Spain",148
"1969",2017-11-25,"Belgium",260
"1970",2017-11-25,"France",224
"1971",2017-11-25,"Germany",256
"1972",2017-11-25,"Italy",192
"1973",2017-11-25,"Poland",80
"1974",2017-11-25,"Spain",161
"1975",2017-11-26,"Belgium",262
"1976",2017-11-26,"France",239
"1977",2017-11-26,"Germany",263
"1978",2017-11-26,"Italy",195
"1979",2017-11-26,"Poland",83
"1980",2017-11-26,"Spain",168
"1981",2017-11-27,"Belgium",218
"1982",2017-11-27,"France",195
"1983",2017-11-27,"Germany",226
"1984",2017-11-27,"Italy",160
"1985",2017-11-27,"Poland",70
"1986",2017-11-27,"Spain",140
"1987",2017-11-28,"Belgium",226
"1988",2017-11-28,"France",196
"1989",2017-11-28,"Germany",224
"1990",2017-11-28,"Italy",166
"1991",2017-11-28,"Poland",70
"1992",2017-11-28,"Spain",141
"1993",2017-11-29,"Belgium",221
"1994",2017-11-29,"France",197
"1995",2017-11-29,"Germany",227
"1996",2017-11-29,"Italy",160
"1997",2017-11-29,"Poland",68
"1998",2017-11-29,"Spain",144
"1999",2017-11-30,"Belgium",224
"2000",2017-11-30,"France",189
"2001",2017-11-30,"Germany",230
"2002",2017-11-30,"Italy",166
"2003",2017-11-30,"Poland",68
"2004",2017-11-30,"Spain",142
"2005",2017-12-01,"Belgium",233
"2006",2017-12-01,"France",203
"2007",2017-12-01,"Germany",236
"2008",2017-12-01,"Italy",166
"2009",2017-12-01,"Poland",74
"2010",2017-12-01,"Spain",149
"2011",2017-12-02,"Belgium",260
"2012",2017-12-02,"France",221
"2013",2017-12-02,"Germany",259
"2014",2017-12-02,"Italy",190
"2015",2017-12-02,"Poland",79
"2016",2017-12-02,"Spain",167
"2017",2017-12-03,"Belgium",280
"2018",2017-12-03,"France",234
"2019",2017-12-03,"Germany",278
"2020",2017-12-03,"Italy",200
"2021",2017-12-03,"Poland",82
"2022",2017-12-03,"Spain",169
"2023",2017-12-04,"Belgium",225
"2024",2017-12-04,"France",196
"2025",2017-12-04,"Germany",213
"2026",2017-12-04,"Italy",164
"2027",2017-12-04,"Poland",70
"2028",2017-12-04,"Spain",141
"2029",2017-12-05,"Belgium",221
"2030",2017-12-05,"France",196
"2031",2017-12-05,"Germany",226
"2032",2017-12-05,"Italy",162
"2033",2017-12-05,"Poland",68
"2034",2017-12-05,"Spain",139
"2035",2017-12-06,"Belgium",220
"2036",2017-12-06,"France",200
"2037",2017-12-06,"Germany",224
"2038",2017-12-06,"Italy",171
"2039",2017-12-06,"Poland",69
"2040",2017-12-06,"Spain",144
"2041",2017-12-07,"Belgium",224
"2042",2017-12-07,"France",196
"2043",2017-12-07,"Germany",225
"2044",2017-12-07,"Italy",160
"2045",2017-12-07,"Poland",71
"2046",2017-12-07,"Spain",146
"2047",2017-12-08,"Belgium",243
"2048",2017-12-08,"France",202
"2049",2017-12-08,"Germany",242
"2050",2017-12-08,"Italy",175
"2051",2017-12-08,"Poland",73
"2052",2017-12-08,"Spain",156
"2053",2017-12-09,"Belgium",254
"2054",2017-12-09,"France",230
"2055",2017-12-09,"Germany",256
"2056",2017-12-09,"Italy",194
"2057",2017-12-09,"Poland",81
"2058",2017-12-09,"Spain",186
"2059",2017-12-10,"Belgium",268
"2060",2017-12-10,"France",240
"2061",2017-12-10,"Germany",280
"2062",2017-12-10,"Italy",208
"2063",2017-12-10,"Poland",85
"2064",2017-12-10,"Spain",208
"2065",2017-12-11,"Belgium",222
"2066",2017-12-11,"France",199
"2067",2017-12-11,"Germany",227
"2068",2017-12-11,"Italy",177
"2069",2017-12-11,"Poland",67
"2070",2017-12-11,"Spain",174
"2071",2017-12-12,"Belgium",222
"2072",2017-12-12,"France",195
"2073",2017-12-12,"Germany",231
"2074",2017-12-12,"Italy",187
"2075",2017-12-12,"Poland",70
"2076",2017-12-12,"Spain",173
"2077",2017-12-13,"Belgium",226
"2078",2017-12-13,"France",199
"2079",2017-12-13,"Germany",230
"2080",2017-12-13,"Italy",191
"2081",2017-12-13,"Poland",70
"2082",2017-12-13,"Spain",173
"2083",2017-12-14,"Belgium",229
"2084",2017-12-14,"France",195
"2085",2017-12-14,"Germany",217
"2086",2017-12-14,"Italy",188
"2087",2017-12-14,"Poland",72
"2088",2017-12-14,"Spain",161
"2089",2017-12-15,"Belgium",238
"2090",2017-12-15,"France",203
"2091",2017-12-15,"Germany",235
"2092",2017-12-15,"Italy",181
"2093",2017-12-15,"Poland",74
"2094",2017-12-15,"Spain",160
"2095",2017-12-16,"Belgium",255
"2096",2017-12-16,"France",228
"2097",2017-12-16,"Germany",251
"2098",2017-12-16,"Italy",195
"2099",2017-12-16,"Poland",82
"2100",2017-12-16,"Spain",171
"2101",2017-12-17,"Belgium",267
"2102",2017-12-17,"France",246
"2103",2017-12-17,"Germany",267
"2104",2017-12-17,"Italy",191
"2105",2017-12-17,"Poland",86
"2106",2017-12-17,"Spain",174
"2107",2017-12-18,"Belgium",222
"2108",2017-12-18,"France",202
"2109",2017-12-18,"Germany",231
"2110",2017-12-18,"Italy",163
"2111",2017-12-18,"Poland",70
"2112",2017-12-18,"Spain",147
"2113",2017-12-19,"Belgium",229
"2114",2017-12-19,"France",196
"2115",2017-12-19,"Germany",233
"2116",2017-12-19,"Italy",162
"2117",2017-12-19,"Poland",69
"2118",2017-12-19,"Spain",141
"2119",2017-12-20,"Belgium",228
"2120",2017-12-20,"France",199
"2121",2017-12-20,"Germany",220
"2122",2017-12-20,"Italy",160
"2123",2017-12-20,"Poland",70
"2124",2017-12-20,"Spain",141
"2125",2017-12-21,"Belgium",228
"2126",2017-12-21,"France",198
"2127",2017-12-21,"Germany",216
"2128",2017-12-21,"Italy",158
"2129",2017-12-21,"Poland",69
"2130",2017-12-21,"Spain",145
"2131",2017-12-22,"Belgium",236
"2132",2017-12-22,"France",206
"2133",2017-12-22,"Germany",238
"2134",2017-12-22,"Italy",180
"2135",2017-12-22,"Poland",74
"2136",2017-12-22,"Spain",154
"2137",2017-12-23,"Belgium",251
"2138",2017-12-23,"France",228
"2139",2017-12-23,"Germany",257
"2140",2017-12-23,"Italy",186
"2141",2017-12-23,"Poland",83
"2142",2017-12-23,"Spain",166
"2143",2017-12-24,"Belgium",275
"2144",2017-12-24,"France",234
"2145",2017-12-24,"Germany",286
"2146",2017-12-24,"Italy",200
"2147",2017-12-24,"Poland",84
"2148",2017-12-24,"Spain",172
"2149",2017-12-25,"Belgium",236
"2150",2017-12-25,"France",208
"2151",2017-12-25,"Germany",249
"2152",2017-12-25,"Italy",174
"2153",2017-12-25,"Poland",76
"2154",2017-12-25,"Spain",157
"2155",2017-12-26,"Belgium",264
"2156",2017-12-26,"France",224
"2157",2017-12-26,"Germany",271
"2158",2017-12-26,"Italy",192
"2159",2017-12-26,"Poland",84
"2160",2017-12-26,"Spain",170
"2161",2017-12-27,"Belgium",312
"2162",2017-12-27,"France",270
"2163",2017-12-27,"Germany",318
"2164",2017-12-27,"Italy",233
"2165",2017-12-27,"Poland",99
"2166",2017-12-27,"Spain",196
"2167",2017-12-28,"Belgium",382
"2168",2017-12-28,"France",321
"2169",2017-12-28,"Germany",377
"2170",2017-12-28,"Italy",275
"2171",2017-12-28,"Poland",121
"2172",2017-12-28,"Spain",222
"2173",2017-12-29,"Belgium",414
"2174",2017-12-29,"France",368
"2175",2017-12-29,"Germany",458
"2176",2017-12-29,"Italy",323
"2177",2017-12-29,"Poland",142
"2178",2017-12-29,"Spain",268
"2179",2017-12-30,"Belgium",475
"2180",2017-12-30,"France",424
"2181",2017-12-30,"Germany",494
"2182",2017-12-30,"Italy",356
"2183",2017-12-30,"Poland",158
"2184",2017-12-30,"Spain",301
"2185",2017-12-31,"Belgium",454
"2186",2017-12-31,"France",392
"2187",2017-12-31,"Germany",474
"2188",2017-12-31,"Italy",351
"2189",2017-12-31,"Poland",149
"2190",2017-12-31,"Spain",286
"2191",2018-01-01,"Belgium",323
"2192",2018-01-01,"France",290
"2193",2018-01-01,"Germany",364
"2194",2018-01-01,"Italy",252
"2195",2018-01-01,"Poland",118
"2196",2018-01-01,"Spain",219
"2197",2018-01-02,"Belgium",300
"2198",2018-01-02,"France",258
"2199",2018-01-02,"Germany",309
"2200",2018-01-02,"Italy",226
"2201",2018-01-02,"Poland",96
"2202",2018-01-02,"Spain",184
"2203",2018-01-03,"Belgium",267
"2204",2018-01-03,"France",236
"2205",2018-01-03,"Germany",280
"2206",2018-01-03,"Italy",206
"2207",2018-01-03,"Poland",88
"2208",2018-01-03,"Spain",177
"2209",2018-01-04,"Belgium",257
"2210",2018-01-04,"France",223
"2211",2018-01-04,"Germany",266
"2212",2018-01-04,"Italy",192
"2213",2018-01-04,"Poland",88
"2214",2018-01-04,"Spain",163
"2215",2018-01-05,"Belgium",295
"2216",2018-01-05,"France",254
"2217",2018-01-05,"Germany",275
"2218",2018-01-05,"Italy",210
"2219",2018-01-05,"Poland",91
"2220",2018-01-05,"Spain",175
"2221",2018-01-06,"Belgium",308
"2222",2018-01-06,"France",268
"2223",2018-01-06,"Germany",319
"2224",2018-01-06,"Italy",232
"2225",2018-01-06,"Poland",98
"2226",2018-01-06,"Spain",208
"2227",2018-01-07,"Belgium",320
"2228",2018-01-07,"France",276
"2229",2018-01-07,"Germany",316
"2230",2018-01-07,"Italy",236
"2231",2018-01-07,"Poland",108
"2232",2018-01-07,"Spain",213
"2233",2018-01-08,"Belgium",249
"2234",2018-01-08,"France",221
"2235",2018-01-08,"Germany",261
"2236",2018-01-08,"Italy",188
"2237",2018-01-08,"Poland",86
"2238",2018-01-08,"Spain",175
"2239",2018-01-09,"Belgium",253
"2240",2018-01-09,"France",216
"2241",2018-01-09,"Germany",246
"2242",2018-01-09,"Italy",197
"2243",2018-01-09,"Poland",86
"2244",2018-01-09,"Spain",174
"2245",2018-01-10,"Belgium",246
"2246",2018-01-10,"France",218
"2247",2018-01-10,"Germany",248
"2248",2018-01-10,"Italy",203
"2249",2018-01-10,"Poland",86
"2250",2018-01-10,"Spain",172
"2251",2018-01-11,"Belgium",244
"2252",2018-01-11,"France",207
"2253",2018-01-11,"Germany",241
"2254",2018-01-11,"Italy",195
"2255",2018-01-11,"Poland",89
"2256",2018-01-11,"Spain",180
"2257",2018-01-12,"Belgium",247
"2258",2018-01-12,"France",222
"2259",2018-01-12,"Germany",254
"2260",2018-01-12,"Italy",198
"2261",2018-01-12,"Poland",86
"2262",2018-01-12,"Spain",178
"2263",2018-01-13,"Belgium",285
"2264",2018-01-13,"France",240
"2265",2018-01-13,"Germany",272
"2266",2018-01-13,"Italy",213
"2267",2018-01-13,"Poland",93
"2268",2018-01-13,"Spain",186
"2269",2018-01-14,"Belgium",292
"2270",2018-01-14,"France",249
"2271",2018-01-14,"Germany",278
"2272",2018-01-14,"Italy",224
"2273",2018-01-14,"Poland",96
"2274",2018-01-14,"Spain",190
"2275",2018-01-15,"Belgium",243
"2276",2018-01-15,"France",206
"2277",2018-01-15,"Germany",238
"2278",2018-01-15,"Italy",174
"2279",2018-01-15,"Poland",80
"2280",2018-01-15,"Spain",159
"2281",2018-01-16,"Belgium",238
"2282",2018-01-16,"France",213
"2283",2018-01-16,"Germany",245
"2284",2018-01-16,"Italy",176
"2285",2018-01-16,"Poland",76
"2286",2018-01-16,"Spain",152
"2287",2018-01-17,"Belgium",232
"2288",2018-01-17,"France",214
"2289",2018-01-17,"Germany",238
"2290",2018-01-17,"Italy",178
"2291",2018-01-17,"Poland",80
"2292",2018-01-17,"Spain",153
"2293",2018-01-18,"Belgium",237
"2294",2018-01-18,"France",216
"2295",2018-01-18,"Germany",247
"2296",2018-01-18,"Italy",177
"2297",2018-01-18,"Poland",76
"2298",2018-01-18,"Spain",151
"2299",2018-01-19,"Belgium",263
"2300",2018-01-19,"France",221
"2301",2018-01-19,"Germany",260
"2302",2018-01-19,"Italy",184
"2303",2018-01-19,"Poland",80
"2304",2018-01-19,"Spain",166
"2305",2018-01-20,"Belgium",276
"2306",2018-01-20,"France",244
"2307",2018-01-20,"Germany",281
